Field Name ,Latitude ,Longitude 
Max Hunt 2,37.988810,-88.487706
Max Hunt 3,37.984765,-88.486628
McCormick 1 ,38.302774,-88.474194
McCormick 2,38.296520,-88.462426
McPeak ,37.978775,-88.526560
Mitchell ,38.243328,-88.588109
Mitchell Saline,37.879662,-88.494249
Morco 70,38.231273,-88.477694
Morco Long ,38.196152,-88.509853
Morco Middle ,38.192771,-88.524765
Morco North 1 ,38.196821,-88.528132
Morco North 2,38.196383,-88.524678
Morco South ,38.190085,-88.522419
Morco Woods ,38.232144,-88.442786
Morris 300 1,38.199668,-88.496748
Morris 300 2,38.203255,-88.496637
Morris 300 3,38.208263,-88.498960
Morris 300 4,38.208102,-88.494416
Morris 40,38.253737,-88.456552
Morris 700 1,38.222676,-88.447522
Morris 700 2,38.222583,-88.452116
Morris 700 3,38.220850,-88.456726
Morris 700 4,38.221709,-88.461298
Morris 700 5,38.222685,-88.465872
Morris 700 6,38.223595,-88.470639
Morris 700 7,38.227273,-88.477628
Morris 700 8,38.217006,-88.449881
Morris Bins 1 ,38.242311,-88.438460
Morris Bins 2,38.242048,-88.432970
Morris Bins 3,38.242389,-88.431313
Morris Bins 4,38.244110,-88.433335
Morris Interstate ,38.269020,-88.550678
Morris Section 1 ,38.244002,-88.421488
Morris Section 2,38.251167,-88.421408
Morris Section 3,38.258686,-88.429166
Morris Section 4,38.259670,-88.421638
Morris Section 5,38.251133,-88.412174
Morris Section 6,38.244109,-88.412276
Morris Section 7,38.239419,-88.427867
Moulton 20,38.228688,-88.430109
Moulton Bins,38.232062,-88.428883
Moulton East 1,38.235712,-88.421744
Moulton East 2,38.239337,-88.421588
Moulton East 3,38.239228,-88.412376
Moulton East 4,38.235633,-88.412347
Moulton East 5,38.232010,-88.412466
Moulton Hill ,38.235789,-88.432832
Moulton N 1 ,38.244026,-88.442671
Moulton N 2,38.251176,-88.442446
Moulton N 3,38.246736,-88.438017
Moulton N 4,38.252061,-88.437975
Moulton N 5,38.252044,-88.430954
Moulton N 6,38.246718,-88.430993
Moulton North 40 ,38.239416,-88.442762
Moulton South 40 ,38.235746,-88.442783
Musgrave ,38.228405,-88.421944
Myers 75,38.126937,-88.584547
Myrtle ,38.225206,-88.595739
Newman 80 ,37.887154,-88.439339
Nipper Corner ,38.035931,-88.465898
Organ North ,38.255686,-88.596972
Organ South ,38.250877,-88.596979
Patsy 80 ,38.101981,-88.395686
Pfister House ,38.225680,-88.576989
Pfister Long 40 ,38.218241,-88.573638
Phelps ,37.978248,-88.477996
Phyllis 40 ,37.934988,-88.414183
PL North 1 ,38.302349,-88.455116
PL North 2,38.309223,-88.450876
PL North 3,38.302280,-88.450852
PL North 4,38.309211,-88.443886
PL North 5,38.302120,-88.445597
PL North 6,38.297624,-88.446056
PL North 7,38.299389,-88.441582
PL South 1 ,38.298564,-88.454742
PL South 2,38.296588,-88.450846
PL South 3,38.290611,-88.450856
PL South 4,38.293951,-88.446448
PL South 5,38.289200,-88.446492
